id,left,top,right,bottom,NYECount,Dec1count
135,1089969.889,4883156.1482,1099969.889,4873156.1482,,
136,1089969.889,4873156.1482,1099969.889,4863156.1482,,
137,1089969.889,4863156.1482,1099969.889,4853156.1482,,
138,1089969.889,4853156.1482,1099969.889,4843156.1482,,
139,1089969.889,4843156.1482,1099969.889,4833156.1482,,
140,1089969.889,4833156.1482,1099969.889,4823156.1482,,
141,1089969.889,4823156.1482,1099969.889,4813156.1482,,
142,1089969.889,4813156.1482,1099969.889,4803156.1482,,
143,1089969.889,4803156.1482,1099969.889,4793156.1482,,
144,1089969.889,4793156.1482,1099969.889,4783156.1482,,
145,1089969.889,4783156.1482,1099969.889,4773156.1482,,
146,1089969.889,4773156.1482,1099969.889,4763156.1482,,
147,1089969.889,4763156.1482,1099969.889,4753156.1482,,
148,1089969.889,4753156.1482,1099969.889,4743156.1482,,
149,1099969.889,6223156.1482,1109969.889,6213156.1482,,
150,1099969.889,6213156.1482,1109969.889,6203156.1482,,
151,1099969.889,6203156.1482,1109969.889,6193156.1482,,
152,1099969.889,6193156.1482,1109969.889,6183156.1482,,
153,1099969.889,6183156.1482,1109969.889,6173156.1482,,
154,1099969.889,6173156.1482,1109969.889,6163156.1482,,
155,1099969.889,6163156.1482,1109969.889,6153156.1482,,
156,1099969.889,6153156.1482,1109969.889,6143156.1482,,
157,1099969.889,6143156.1482,1109969.889,6133156.1482,,
158,1099969.889,6133156.1482,1109969.889,6123156.1482,,
159,1099969.889,6123156.1482,1109969.889,6113156.1482,,
160,1099969.889,6113156.1482,1109969.889,6103156.1482,,
161,1099969.889,6103156.1482,1109969.889,6093156.1482,,
162,1099969.889,6093156.1482,1109969.889,6083156.1482,,
163,1099969.889,6083156.1482,1109969.889,6073156.1482,,
164,1099969.889,6073156.1482,1109969.889,6063156.1482,,
165,1099969.889,6063156.1482,1109969.889,6053156.1482,,
166,1099969.889,6053156.1482,1109969.889,6043156.1482,,
167,1099969.889,6043156.1482,1109969.889,6033156.1482,,
168,1099969.889,6033156.1482,1109969.889,6023156.1482,,
169,1099969.889,6023156.1482,1109969.889,6013156.1482,,
170,1099969.889,6013156.1482,1109969.889,6003156.1482,,
171,1099969.889,6003156.1482,1109969.889,5993156.1482,,
172,1099969.889,5993156.1482,1109969.889,5983156.1482,,
173,1099969.889,5983156.1482,1109969.889,5973156.1482,,
174,1099969.889,5973156.1482,1109969.889,5963156.1482,,
175,1099969.889,5963156.1482,1109969.889,5953156.1482,,
176,1099969.889,5953156.1482,1109969.889,5943156.1482,,
177,1099969.889,5943156.1482,1109969.889,5933156.1482,,
178,1099969.889,5933156.1482,1109969.889,5923156.1482,,
179,1099969.889,5923156.1482,1109969.889,5913156.1482,,
180,1099969.889,5913156.1482,1109969.889,5903156.1482,,
181,1099969.889,5903156.1482,1109969.889,5893156.1482,,
182,1099969.889,5893156.1482,1109969.889,5883156.1482,,
183,1099969.889,5883156.1482,1109969.889,5873156.1482,,
184,1099969.889,5873156.1482,1109969.889,5863156.1482,,
185,1099969.889,5863156.1482,1109969.889,5853156.1482,,
186,1099969.889,5853156.1482,1109969.889,5843156.1482,,
187,1099969.889,5843156.1482,1109969.889,5833156.1482,,
188,1099969.889,5833156.1482,1109969.889,5823156.1482,,
189,1099969.889,5823156.1482,1109969.889,5813156.1482,,
190,1099969.889,5813156.1482,1109969.889,5803156.1482,,
191,1099969.889,5803156.1482,1109969.889,5793156.1482,,
192,1099969.889,5793156.1482,1109969.889,5783156.1482,,
193,1099969.889,5783156.1482,1109969.889,5773156.1482,,
194,1099969.889,5773156.1482,1109969.889,5763156.1482,,
195,1099969.889,5763156.1482,1109969.889,5753156.1482,,
196,1099969.889,5753156.1482,1109969.889,5743156.1482,,
197,1099969.889,5743156.1482,1109969.889,5733156.1482,,
198,1099969.889,5733156.1482,1109969.889,5723156.1482,,
199,1099969.889,5723156.1482,1109969.889,5713156.1482,,
200,1099969.889,5713156.1482,1109969.889,5703156.1482,,
201,1099969.889,5703156.1482,1109969.889,5693156.1482,,
202,1099969.889,5693156.1482,1109969.889,5683156.1482,,
203,1099969.889,5683156.1482,1109969.889,5673156.1482,,
204,1099969.889,5673156.1482,1109969.889,5663156.1482,,
205,1099969.889,5663156.1482,1109969.889,5653156.1482,,
206,1099969.889,5653156.1482,1109969.889,5643156.1482,,
207,1099969.889,5643156.1482,1109969.889,5633156.1482,,
208,1099969.889,5633156.1482,1109969.889,5623156.1482,,
209,1099969.889,5623156.1482,1109969.889,5613156.1482,,
210,1099969.889,5613156.1482,1109969.889,5603156.1482,,
211,1099969.889,5603156.1482,1109969.889,5593156.1482,,
212,1099969.889,5593156.1482,1109969.889,5583156.1482,,
213,1099969.889,5583156.1482,1109969.889,5573156.1482,,
214,1099969.889,5573156.1482,1109969.889,5563156.1482,,
215,1099969.889,5563156.1482,1109969.889,5553156.1482,,
216,1099969.889,5553156.1482,1109969.889,5543156.1482,,
217,1099969.889,5543156.1482,1109969.889,5533156.1482,,
218,1099969.889,5533156.1482,1109969.889,5523156.1482,,
219,1099969.889,5523156.1482,1109969.889,5513156.1482,,
220,1099969.889,5513156.1482,1109969.889,5503156.1482,,
221,1099969.889,5503156.1482,1109969.889,5493156.1482,,
222,1099969.889,5493156.1482,1109969.889,5483156.1482,,
223,1099969.889,5483156.1482,1109969.889,5473156.1482,,
224,1099969.889,5473156.1482,1109969.889,5463156.1482,,
225,1099969.889,5463156.1482,1109969.889,5453156.1482,,
226,1099969.889,5453156.1482,1109969.889,5443156.1482,,
227,1099969.889,5443156.1482,1109969.889,5433156.1482,,
228,1099969.889,5433156.1482,1109969.889,5423156.1482,,
229,1099969.889,5423156.1482,1109969.889,5413156.1482,,
230,1099969.889,5413156.1482,1109969.889,5403156.1482,,
231,1099969.889,5403156.1482,1109969.889,5393156.1482,,
232,1099969.889,5393156.1482,1109969.889,5383156.1482,,
233,1099969.889,5383156.1482,1109969.889,5373156.1482,,
