id,left,top,right,bottom,NYECount,Dec1count
4285,2106556.9662,6337864.9471,2116556.9662,6287864.9471,,
4286,2106556.9662,6287864.9471,2116556.9662,6237864.9471,,
4287,2106556.9662,6237864.9471,2116556.9662,6187864.9471,,
4288,2106556.9662,6187864.9471,2116556.9662,6137864.9471,,
4289,2106556.9662,6137864.9471,2116556.9662,6087864.9471,,
4290,2106556.9662,6087864.9471,2116556.9662,6037864.9471,,
4291,2106556.9662,6037864.9471,2116556.9662,5987864.9471,,
4292,2106556.9662,5987864.9471,2116556.9662,5937864.9471,,
4293,2106556.9662,5937864.9471,2116556.9662,5887864.9471,,
4294,2106556.9662,5887864.9471,2116556.9662,5837864.9471,,
4295,2106556.9662,5837864.9471,2116556.9662,5787864.9471,,
4296,2106556.9662,5787864.9471,2116556.9662,5737864.9471,,
4297,2106556.9662,5737864.9471,2116556.9662,5687864.9471,,
4298,2106556.9662,5687864.9471,2116556.9662,5637864.9471,,
4299,2106556.9662,5637864.9471,2116556.9662,5587864.9471,,
4300,2106556.9662,5587864.9471,2116556.9662,5537864.9471,,
4301,2106556.9662,5537864.9471,2116556.9662,5487864.9471,,
4302,2106556.9662,5487864.9471,2116556.9662,5437864.9471,,
4303,2106556.9662,5437864.9471,2116556.9662,5387864.9471,,
4304,2106556.9662,5387864.9471,2116556.9662,5337864.9471,,
4305,2106556.9662,5337864.9471,2116556.9662,5287864.9471,,
4306,2106556.9662,5287864.9471,2116556.9662,5237864.9471,,
4307,2106556.9662,5237864.9471,2116556.9662,5187864.9471,,
4308,2106556.9662,5187864.9471,2116556.9662,5137864.9471,,
4309,2106556.9662,5137864.9471,2116556.9662,5087864.9471,,
4310,2106556.9662,5087864.9471,2116556.9662,5037864.9471,,
4311,2106556.9662,5037864.9471,2116556.9662,4987864.9471,,
4312,2106556.9662,4987864.9471,2116556.9662,4937864.9471,,
4313,2106556.9662,4937864.9471,2116556.9662,4887864.9471,,
4314,2106556.9662,4887864.9471,2116556.9662,4837864.9471,,
4315,2106556.9662,4837864.9471,2116556.9662,4787864.9471,,
4316,2106556.9662,4787864.9471,2116556.9662,4737864.9471,,
4317,2106556.9662,4737864.9471,2116556.9662,4687864.9471,,
4318,2106556.9662,4687864.9471,2116556.9662,4637864.9471,,
4319,2116556.9662,6337864.9471,2126556.9662,6287864.9471,,
4320,2116556.9662,6287864.9471,2126556.9662,6237864.9471,,
4321,2116556.9662,6237864.9471,2126556.9662,6187864.9471,,
4322,2116556.9662,6187864.9471,2126556.9662,6137864.9471,,
4323,2116556.9662,6137864.9471,2126556.9662,6087864.9471,,
4324,2116556.9662,6087864.9471,2126556.9662,6037864.9471,,
4325,2116556.9662,6037864.9471,2126556.9662,5987864.9471,,
4326,2116556.9662,5987864.9471,2126556.9662,5937864.9471,,
4327,2116556.9662,5937864.9471,2126556.9662,5887864.9471,,
4328,2116556.9662,5887864.9471,2126556.9662,5837864.9471,,
4329,2116556.9662,5837864.9471,2126556.9662,5787864.9471,,
4330,2116556.9662,5787864.9471,2126556.9662,5737864.9471,,
4331,2116556.9662,5737864.9471,2126556.9662,5687864.9471,,
4332,2116556.9662,5687864.9471,2126556.9662,5637864.9471,,
4333,2116556.9662,5637864.9471,2126556.9662,5587864.9471,,
4334,2116556.9662,5587864.9471,2126556.9662,5537864.9471,,
4335,2116556.9662,5537864.9471,2126556.9662,5487864.9471,,
4336,2116556.9662,5487864.9471,2126556.9662,5437864.9471,,
4337,2116556.9662,5437864.9471,2126556.9662,5387864.9471,,
4338,2116556.9662,5387864.9471,2126556.9662,5337864.9471,,
4339,2116556.9662,5337864.9471,2126556.9662,5287864.9471,,
4340,2116556.9662,5287864.9471,2126556.9662,5237864.9471,,
4341,2116556.9662,5237864.9471,2126556.9662,5187864.9471,,
4342,2116556.9662,5187864.9471,2126556.9662,5137864.9471,,
4343,2116556.9662,5137864.9471,2126556.9662,5087864.9471,,
4344,2116556.9662,5087864.9471,2126556.9662,5037864.9471,,
4345,2116556.9662,5037864.9471,2126556.9662,4987864.9471,,
4346,2116556.9662,4987864.9471,2126556.9662,4937864.9471,,
4347,2116556.9662,4937864.9471,2126556.9662,4887864.9471,,
4348,2116556.9662,4887864.9471,2126556.9662,4837864.9471,,
4349,2116556.9662,4837864.9471,2126556.9662,4787864.9471,,
4350,2116556.9662,4787864.9471,2126556.9662,4737864.9471,,
4351,2116556.9662,4737864.9471,2126556.9662,4687864.9471,,
4352,2116556.9662,4687864.9471,2126556.9662,4637864.9471,,
4353,2126556.9662,6337864.9471,2136556.9662,6287864.9471,,
4354,2126556.9662,6287864.9471,2136556.9662,6237864.9471,,
4355,2126556.9662,6237864.9471,2136556.9662,6187864.9471,,
4356,2126556.9662,6187864.9471,2136556.9662,6137864.9471,,
4357,2126556.9662,6137864.9471,2136556.9662,6087864.9471,,
4358,2126556.9662,6087864.9471,2136556.9662,6037864.9471,,
4359,2126556.9662,6037864.9471,2136556.9662,5987864.9471,,
4360,2126556.9662,5987864.9471,2136556.9662,5937864.9471,,
4361,2126556.9662,5937864.9471,2136556.9662,5887864.9471,,
