id,left,top,right,bottom,NYECount,Dec1Count
6897,1656556.9662,6117864.9471,1666556.9662,6097864.9471,800755703.906,543429876.759
6898,1656556.9662,6097864.9471,1666556.9662,6077864.9471,480497037.939,658333908.557
6899,1656556.9662,6077864.9471,1666556.9662,6057864.9471,286721695.412,287398093.049
6900,1656556.9662,6057864.9471,1666556.9662,6037864.9471,599424176.856,602326230.466
6901,1656556.9662,6037864.9471,1666556.9662,6017864.9471,282779599.147,284148648.959
6902,1656556.9662,6017864.9471,1666556.9662,5997864.9471,,
6903,1656556.9662,5997864.9471,1666556.9662,5977864.9471,,
6904,1656556.9662,5977864.9471,1666556.9662,5957864.9471,,
6905,1656556.9662,5957864.9471,1666556.9662,5937864.9471,,
6906,1656556.9662,5937864.9471,1666556.9662,5917864.9471,,
6907,1656556.9662,5917864.9471,1666556.9662,5897864.9471,,
6908,1656556.9662,5897864.9471,1666556.9662,5877864.9471,,
6909,1656556.9662,5877864.9471,1666556.9662,5857864.9471,,
6910,1656556.9662,5857864.9471,1666556.9662,5837864.9471,,
6911,1656556.9662,5837864.9471,1666556.9662,5817864.9471,,
6912,1656556.9662,5817864.9471,1666556.9662,5797864.9471,,
6913,1656556.9662,5797864.9471,1666556.9662,5777864.9471,,
6914,1656556.9662,5777864.9471,1666556.9662,5757864.9471,,
6915,1656556.9662,5757864.9471,1666556.9662,5737864.9471,,
6916,1656556.9662,5737864.9471,1666556.9662,5717864.9471,,
6917,1656556.9662,5717864.9471,1666556.9662,5697864.9471,,
6918,1656556.9662,5697864.9471,1666556.9662,5677864.9471,,
6919,1656556.9662,5677864.9471,1666556.9662,5657864.9471,,
6920,1656556.9662,5657864.9471,1666556.9662,5637864.9471,62677955.036,62600139.793
6921,1656556.9662,5637864.9471,1666556.9662,5617864.9471,,
6922,1656556.9662,5617864.9471,1666556.9662,5597864.9471,,
6923,1656556.9662,5597864.9471,1666556.9662,5577864.9471,,
6924,1656556.9662,5577864.9471,1666556.9662,5557864.9471,,
6925,1656556.9662,5557864.9471,1666556.9662,5537864.9471,,
6926,1656556.9662,5537864.9471,1666556.9662,5517864.9471,,
6927,1656556.9662,5517864.9471,1666556.9662,5497864.9471,,
6928,1656556.9662,5497864.9471,1666556.9662,5477864.9471,1543891.948,1088240.268
6929,1656556.9662,5477864.9471,1666556.9662,5457864.9471,46651271.262,32882995.464
6930,1656556.9662,5457864.9471,1666556.9662,5437864.9471,236017828.772,166361451.315
6931,1656556.9662,5437864.9471,1666556.9662,5417864.9471,433800012.704,263793235.011
6932,1656556.9662,5417864.9471,1666556.9662,5397864.9471,333010834.156,341468654.792
6933,1656556.9662,5397864.9471,1666556.9662,5377864.9471,96807269.136,126278033.877
6934,1656556.9662,5377864.9471,1666556.9662,5357864.9471,142197693.143,156635855.605
6935,1656556.9662,5357864.9471,1666556.9662,5337864.9471,565952286.892,397773873.458
6936,1656556.9662,5337864.9471,1666556.9662,5317864.9471,592973289.178,410962541.485
6937,1656556.9662,5317864.9471,1666556.9662,5297864.9471,1111163457.166,585223129.089
6938,1656556.9662,5297864.9471,1666556.9662,5277864.9471,,
6939,1656556.9662,5277864.9471,1666556.9662,5257864.9471,,
6940,1656556.9662,5257864.9471,1666556.9662,5237864.9471,,
6941,1656556.9662,5237864.9471,1666556.9662,5217864.9471,,
6942,1656556.9662,5217864.9471,1666556.9662,5197864.9471,,
6943,1656556.9662,5197864.9471,1666556.9662,5177864.9471,,
6944,1656556.9662,5177864.9471,1666556.9662,5157864.9471,,
6945,1656556.9662,5157864.9471,1666556.9662,5137864.9471,,
6946,1656556.9662,5137864.9471,1666556.9662,5117864.9471,,
